date,store_id,store_name,product_id,product_name,category,sales_units,price,discount,revenue,is_promo,is_holiday,day_of_week,month,quarter,day_of_month,week_of_year
2023-01-01,1,Магазин_1,1,Товар_1,Книги,34,689,0.15,23426,1,1,6,1,1,1,52
2023-01-02,1,Магазин_1,1,Товар_1,Книги,24,658,0.0,15792,0,1,0,1,1,2,1
2023-01-03,1,Магазин_1,1,Товар_1,Книги,34,646,0.15,21964,1,1,1,1,1,3,1
2023-01-04,1,Магазин_1,1,Товар_1,Книги,32,906,0.15,28992,1,1,2,1,1,4,1
2023-01-05,1,Магазин_1,1,Товар_1,Книги,19,737,0.0,14003,0,1,3,1,1,5,1
2023-01-06,1,Магазин_1,1,Товар_1,Книги,19,778,0.0,14782,0,1,4,1,1,6,1
2023-01-07,1,Магазин_1,1,Товар_1,Книги,20,733,0.0,14660,0,1,5,1,1,7,1
2023-01-08,1,Магазин_1,1,Товар_1,Книги,24,785,0.0,18840,0,1,6,1,1,8,1
2023-01-09,1,Магазин_1,1,Товар_1,Книги,21,829,0.0,17409,0,1,0,1,1,9,2
2023-01-10,1,Магазин_1,1,Товар_1,Книги,16,834,0.0,13344,0,1,1,1,1,10,2
2023-01-11,1,Магазин_1,1,Товар_1,Книги,7,858,0.0,6006,0,0,2,1,1,11,2
2023-01-12,1,Магазин_1,1,Товар_1,Книги,8,679,0.0,5432,0,0,3,1,1,12,2
2023-01-13,1,Магазин_1,1,Товар_1,Книги,11,739,0.0,8129,0,0,4,1,1,13,2
2023-01-14,1,Магазин_1,1,Товар_1,Книги,8,814,0.0,6512,0,0,5,1,1,14,2
2023-01-15,1,Магазин_1,1,Товар_1,Книги,14,668,0.0,9352,0,0,6,1,1,15,2
2023-01-16,1,Магазин_1,1,Товар_1,Книги,10,654,0.0,6540,0,0,0,1,1,16,3
2023-01-17,1,Магазин_1,1,Товар_1,Книги,5,905,0.0,4525,0,0,1,1,1,17,3
2023-01-18,1,Магазин_1,1,Товар_1,Книги,7,729,0.0,5103,0,0,2,1,1,18,3
2023-01-19,1,Магазин_1,1,Товар_1,Книги,10,663,0.0,6630,0,0,3,1,1,19,3
2023-01-20,1,Магазин_1,1,Товар_1,Книги,18,887,0.15,15966,1,0,4,1,1,20,3
2023-01-21,1,Магазин_1,1,Товар_1,Книги,16,886,0.0,14176,0,0,5,1,1,21,3
2023-01-22,1,Магазин_1,1,Товар_1,Книги,15,754,0.0,11310,0,0,6,1,1,22,3
2023-01-23,1,Магазин_1,1,Товар_1,Книги,11,745,0.0,8195,0,0,0,1,1,23,4
2023-01-24,1,Магазин_1,1,Товар_1,Книги,13,739,0.0,9607,0,0,1,1,1,24,4
2023-01-25,1,Магазин_1,1,Товар_1,Книги,14,923,0.0,12922,0,0,2,1,1,25,4
2023-01-26,1,Магазин_1,1,Товар_1,Книги,16,678,0.0,10848,0,0,3,1,1,26,4
2023-01-27,1,Магазин_1,1,Товар_1,Книги,13,886,0.0,11518,0,0,4,1,1,27,4
2023-01-28,1,Магазин_1,1,Товар_1,Книги,20,807,0.0,16140,0,0,5,1,1,28,4
2023-01-29,1,Магазин_1,1,Товар_1,Книги,16,740,0.0,11840,0,0,6,1,1,29,4
2023-01-30,1,Магазин_1,1,Товар_1,Книги,12,930,0.0,11160,0,0,0,1,1,30,5
2023-01-31,1,Магазин_1,1,Товар_1,Книги,17,713,0.0,12121,0,0,1,1,1,31,5
2023-02-01,1,Магазин_1,1,Товар_1,Книги,9,732,0.0,6588,0,0,2,2,1,1,5
2023-02-02,1,Магазин_1,1,Товар_1,Книги,14,897,0.0,12558,0,0,3,2,1,2,5
2023-02-03,1,Магазин_1,1,Товар_1,Книги,12,925,0.0,11100,0,0,4,2,1,3,5
2023-02-04,1,Магазин_1,1,Товар_1,Книги,12,712,0.0,8544,0,0,5,2,1,4,5
2023-02-05,1,Магазин_1,1,Товар_1,Книги,13,901,0.0,11713,0,0,6,2,1,5,5
2023-02-06,1,Магазин_1,1,Товар_1,Книги,21,773,0.15,16233,1,0,0,2,1,6,6
2023-02-07,1,Магазин_1,1,Товар_1,Книги,11,678,0.0,7458,0,0,1,2,1,7,6
2023-02-08,1,Магазин_1,1,Товар_1,Книги,11,806,0.0,8866,0,0,2,2,1,8,6
2023-02-09,1,Магазин_1,1,Товар_1,Книги,13,756,0.0,9828,0,0,3,2,1,9,6
2023-02-10,1,Магазин_1,1,Товар_1,Книги,16,731,0.15,11696,1,0,4,2,1,10,6
2023-02-11,1,Магазин_1,1,Товар_1,Книги,14,835,0.0,11690,0,0,5,2,1,11,6
